title,authors,year,abstract,pdf_link,abstract_link,domain
Towards an Organizing Principle for a Layered Perceptual Network,Ralph Linsker,1987,"An information-theoretic optimization principle is  proposed for  the development  of  each  processing  stage  of  a  multilayered  perceptual  network.  This  principle  of  ""maximum information preservation""  states that the signal transformation that is to be  realized at each stage is one that maximizes the information that the output signal values  (from that stage) convey about the input signals values (to that stage), subject to certain  constraints and in  the presence of processing noise.  The quantity being maximized is  a  Shannon information rate.  I provide motivation for this principle and -- for some simple  model cases -- derive some of its consequences, discuss an algorithmic implementation,  and  show  how  the  principle  may  lead  to  biologically  relevant  neural  architectural  features  such  as  topographic  maps,  map  distortions,  orientation  selectivity,  and  extraction of spatial and temporal signal correlations.  A  possible  connection between  this  information-theoretic principle  and  a  principle  of minimum  entropy production in  nonequilibrium thermodynamics is suggested.",https://papers.nips.cc/paper_files/paper/1987/file/e4da3b7fbbce2345d7772b0674a318d5-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/e4da3b7fbbce2345d7772b0674a318d5-Abstract.html,
A Trellis-Structured Neural Network,"Thomas Petsche, Bradley Dickinson",1987,"We have developed a neural network which consists of cooperatively inter(cid:173) connected Grossberg on-center off-surround subnets and which can be used to  optimize a function related to the log likelihood function for decoding convolu(cid:173) tional codes or more general FIR signal deconvolution problems. Connections in  the network are confined to neighboring subnets, and it is representative of the  types of networks which lend themselves to VLSI implementation. Analytical and  experimental results for convergence and stability of the network have been found.  The structure of the network can be used for distributed representation of data  items while allowing for fault tolerance and replacement of faulty units.  1",https://papers.nips.cc/paper_files/paper/1987/file/ea5d2f1c4608232e07d3aa3d998e5135-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/ea5d2f1c4608232e07d3aa3d998e5135-Abstract.html,
Supervised Learning of Probability Distributions by Neural Networks,"Eric Baum, Frank Wilczek",1987,"We propose that the back propagation algorithm for super(cid:173) vised learning can be generalized, put on a satisfactory conceptual 
footing, and very likely made more efficient by defining the val(cid:173)
ues of the output and input neurons as probabilities and varying 
the synaptic weights in the gradient direction of the log likelihood, 
rather than the 'error'.  In the past thirty years many researchers have studied the 
question of supervised learning in 'neural'-like networks. Recently 
a learning algorithm called 'back propagation H - 4 or the 'general(cid:173)
ized delta-rule' has been applied to numerous problems including 
the mapping of text to phonemes 5 , the diagnosis of illnesses6 and 
the classification of sonar targets 7 • In these applications, it would 
often be natural to consider imperfect, or probabilistic informa(cid:173)
tion. We believe that by considering supervised learning from this 
slightly larger perspective, one can not only place back propaga-",https://papers.nips.cc/paper_files/paper/1987/file/eccbc87e4b5ce2fe28308fd9f2a7baf3-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/eccbc87e4b5ce2fe28308fd9f2a7baf3-Abstract.html,
Stochastic Learning Networks and their Electronic Implementation,"Joshua Alspector, Robert Allen, Victor Hu, Srinagesh Satyanarayana",1987,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1987/file/f033ab37c30201f73f142449d037028d-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/f033ab37c30201f73f142449d037028d-Abstract.html,
Connecting to the Past,Bruce MacDonald,1987,"Recently  there  has  been  renewed  interest  in  neural-like  processing  systems,  evidenced  for  ex(cid:173) ample in  the two volumes  Parallel Distributed Processing edited by Rumelhart and McClelland,  and  discussed  as  parallel  distributed  systems,  connectionist  models,  neural  nets,  value  passing  systems  and  multiple  context  systems.  Dissatisfaction  with  symbolic  manipulation  paradigms  for  artificial  intelligence seems  partly  responsible  for  this  attention, encouraged by  the promise  of massively  parallel  systems  implemented  in  hardware.  This  paper  relates  simple  neural-like  systems  based  on  multiple  context  to  some  other  well-known  formalisms-namely  production  systems, k-Iength sequence prediction, finite-state  machines and Turing machines-and presents  earlier sequence  prediction  results  in  a  new  light.",https://papers.nips.cc/paper_files/paper/1987/file/f457c545a9ded88f18ecee47145a72c0-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/f457c545a9ded88f18ecee47145a72c0-Abstract.html,
PARTITIONING OF SENSORY DATA BY A CORTICAL NETWORK,"Richard Granger, Jose Ambros-Ingerson, Howard Henry, Gary Lynch",1987,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1987/file/f7177163c833dff4b38fc8d2872f1ec6-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/f7177163c833dff4b38fc8d2872f1ec6-Abstract.html,
A Dynamical Approach to Temporal Pattern Processing,"W. Stornetta, Tad Hogg, Bernardo Huberman",1987,"Recognizing  patterns  with  temporal  context  is  important for  such  tasks  as  speech  recognition,  motion  detection  and  signature  verification.  We  propose  an  architecture  in  which  time  serves as its  own representation, and temporal context is encoded in the state of the  nodes. We contrast this with the approach of replicating portions of the  architecture to represent time.  As one example of these ideas, we demonstrate an architecture  with  capacitive  inputs  serving  as  temporal  feature  detectors  in  an  otherwise  standard  back  propagation  model.  Experiments  involving  motion  detection  and  word  discrimination  serve  to  illustrate  novel  features  of the system.  Finally, we discuss possible  extensions of the  architecture.",https://papers.nips.cc/paper_files/paper/1987/file/fbd7939d674997cdb4692d34de8633c4-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/fbd7939d674997cdb4692d34de8633c4-Abstract.html,
Minkowski-r Back-Propagation: Learning in Connectionist Models with Non-Euclidian Error Signals,"Stephen Hanson, David Burr",1987,"Many connectionist learning models are implemented using a gradient descent  in a least squares error function of the output and teacher signal.  The present model  Fneralizes. in particular. back-propagation [1]  by using Minkowski-r power metrics.  For  small  r's  a  ""city-block""  error  metric  is  approximated  and  for  large  r's  the  ""maximum"" or ""supremum""  metric is  approached.  while  for r=2  the  standard  back(cid:173) propagation  model  results.  An  implementation  of Minkowski-r back-propagation  is  described.  and  several  experiments  are  done  which  show  that  different values  of r  may be desirable for various purposes. Different r values may be appropriate for the  reduction  of  the  effects  of outliers  (noise).  modeling  the  input  space  with  more  compact clusters. or modeling  the statistics of a particular domain more naturally or  in a way that may be more perceptually or psychologically meaningful (e.g. speech or  vision).",https://papers.nips.cc/paper_files/paper/1987/file/fc490ca45c00b1249bbe3554a4fdf6fb-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/fc490ca45c00b1249bbe3554a4fdf6fb-Abstract.html,
Analysis and Comparison of Different Learning Algorithms for Pattern Association Problems,J. Bernasconi,1987,"We  investigate the behavior of different learning algorithms  for networks of neuron-like units. As test cases we use simple pat(cid:173) tern association problems, such as the XOR-problem and symmetry de(cid:173) tection problems. The algorithms considered are either versions of  the Boltzmann machine learning rule or based on the backpropagation  of errors. We also propose and analyze a generalized delta rule for  linear threshold units. We  find that the performance of a given  learning algorithm depends strongly on the type of units used. In  particular, we observe that networks with ±1 units quite generally  exhibit a significantly better learning behavior than the correspon(cid:173) ding 0,1 versions. We also demonstrate that an adaption of the  weight-structure to  the symmetries of the problem can lead to a  drastic increase in learning speed.",https://papers.nips.cc/paper_files/paper/1987/file/fe9fc289c3ff0af142b6d3bead98a923-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/fe9fc289c3ff0af142b6d3bead98a923-Abstract.html,
Neural Control of Sensory Acquisition: The Vestibulo-Ocular Reflex,"Michael Paulin, Mark Nelson, James Bower",1988,"We present a new hypothesis that the cerebellum plays a key role in ac(cid:173) tively controlling the acquisition of sensory infonnation by the nervous  system.  In this paper we explore this idea by examining the function of  a  simple  cerebellar-related  behavior,  the  vestibula-ocular  reflex  or  VOR, in  which  eye movements  are generated to minimize image slip  on  the  retina  during  rapid  head  movements.  Considering  this  system  from  the point of view of statistical estimation theory, our results  sug(cid:173) gest that the transfer function of the VOR, often regarded as a static or  slowly  modifiable  feature  of the  system,  should  actually  be  continu(cid:173) ously and rapidly changed during head movements. We further suggest  that these changes are under the direct control of the cerebellar cortex  and propose experiments to test this hypothesis.",https://papers.nips.cc/paper_files/paper/1988/file/006f52e9102a8d3be2fe5614f42ba989-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/006f52e9102a8d3be2fe5614f42ba989-Abstract.html,
Modeling the Olfactory Bulb - Coupled Nonlinear Oscillators,"Zhaoping Li, John J. Hopfield",1988,"The olfactory  bulb of mammals  aids  in  the  discrimination  of  odors.  A  mathematical  model  based  on  the  bulbar  anatomy  and  electrophysiology  is  described.  Simulations  produce  a  35-60  Hz  modulated activity coherent across the bulb, mimicing the observed  field  potentials.  The  decision  states  (for  the  odor  information)  here  can  be  thought  of as  stable  cycles,  rather  than  point  stable  states  typical  of simpler  neuro-computing  models.  Analysis  and  simulations show that a  group of coupled non-linear oscillators are  responsible for the oscillatory activities determined by the odor in(cid:173) put, and that the bulb, with appropriate inputs from higher centers,  can  enhance  or suppress  the  sensitivity  to  partiCUlar  odors.  The  model provides a framework  in which to understand the transform  between odor input and the bulbar output to olfactory cortex.",https://papers.nips.cc/paper_files/paper/1988/file/013d407166ec4fa56eb1e1f8cbe183b9-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/013d407166ec4fa56eb1e1f8cbe183b9-Abstract.html,
Efficient Parallel Learning Algorithms for Neural Networks,"Alan Kramer, Alberto Sangiovanni-Vincentelli",1988,"Parallelizable optimization techniques are applied to the problem of  learning in feedforward neural networks. In addition to having supe(cid:173) rior convergence properties, optimization techniques such as the Polak(cid:173) Ribiere method are also significantly more efficient than the Back(cid:173) propagation algorithm. These results are based on experiments per(cid:173) formed on small boolean learning problems and the noisy real-valued  learning problem of hand-written character recognition.",https://papers.nips.cc/paper_files/paper/1988/file/02522a2b2726fb0a03bb19f2d8d9524d-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/02522a2b2726fb0a03bb19f2d8d9524d-Abstract.html,
The Boltzmann Perceptron Network: A Multi-Layered Feed-Forward Network Equivalent to the Boltzmann Machine,"Eyal Yair, Allen Gersho",1988,"The  concept  of  the  stochastic  Boltzmann  machine  (BM)  is  auractive  for  decision  making  and  pattern  classification  purposes  since  the  probability  of  attaining  the network  states  is a  function  of the network energy.  Hence,  the  probability of attaining particular energy minima  may be associated  with  the  probabilities  of  making  certain  decisions  (or  classifications).  However,  because of its stochastic  nature,  the complexity of the BM is fairly  high and  therefore  such  networks  are  not  very  likely  to  be  used  in  practice.  In  this  paper  we  suggest  a  way  to  alleviate  this  drawback  by  converting  the  sto(cid:173) chastic  BM into  a  deterministic  network  which  we  call  the  Boltzmann  Per(cid:173) ceptron  Network  (BPN).  The BPN is functionally  equivalent  to  the  BM but  has  a  feed-forward  structure  and  low  complexity.  No annealing  is required.  The  conditions  under  which  such  a  convmion  is  feasible  are  given.  A  learning  algorithm  for  the  BPN based  on  the  conjugate  gradient  method  is  also provided which is somewhat akin  to the backpropagation algorithm.",https://papers.nips.cc/paper_files/paper/1988/file/045117b0e0a11a242b9765e79cbf113f-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/045117b0e0a11a242b9765e79cbf113f-Abstract.html,
Neural Networks that Learn to Discriminate Similar Kanji Characters,"Yoshihiro Mori, Kazuhiko Yokosawa",1988,is,https://papers.nips.cc/paper_files/paper/1988/file/06409663226af2f3114485aa4e0a23b4-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/06409663226af2f3114485aa4e0a23b4-Abstract.html,
Computer Modeling of Associative Learning,"Daniel Alkon, Francis Quek, Thomas Vogl",1988,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1988/file/069059b7ef840f0c74a814ec9237b6ec-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/069059b7ef840f0c74a814ec9237b6ec-Abstract.html,
Links Between Markov Models and Multilayer Perceptrons,"Hervé Bourlard, C. J. Wellekens",1988,"Hidden Markov models are widely used for automatic speech recog(cid:173) nition. They inherently incorporate the sequential character of the  speech signal and are statistically trained. However, the a-priori  choice of the model topology limits their flexibility. Another draw(cid:173) back of these models is their weak discriminating power. Multilayer  perceptrons are now promising tools in the connectionist approach  for classification problems and have already been successfully tested  on speech recognition problems. However, the sequential nature of  the speech signal remains difficult to handle in that kind of ma(cid:173) chine. In this paper, a discriminant hidden Markov model is de(cid:173) fined and it is shown how a particular multilayer perceptron with  contextual and extra feedback input units can be considered as a  general form of such Markov models.",https://papers.nips.cc/paper_files/paper/1988/file/0777d5c17d4066b82ab86dff8a46af6f-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/0777d5c17d4066b82ab86dff8a46af6f-Abstract.html,
Skeletonization: A Technique for Trimming the Fat from a Network via Relevance Assessment,"Michael C. Mozer, Paul Smolensky",1988,"This paper proposes a means of using the knowledge in a network to  determine the functionality or relevance of individual units, both for  the purpose of understanding the network's behavior and improving its  performance. The basic idea is to iteratively train the network to a cer(cid:173) tain performance criterion, compute a measure of relevance that identi(cid:173) fies which input or hidden units are most critical to performance, and  automatically trim the least relevant units. This skeletonization tech(cid:173) nique can be used to simplify networks by eliminating units that con(cid:173) vey redundant information; to improve learning performance by first  learning with spare hidden units and then trimming the unnecessary  ones away, thereby constraining generalization; and to understand the  behavior of networks in terms of minimal ""rules.""",https://papers.nips.cc/paper_files/paper/1988/file/07e1cd7dca89a1678042477183b7ac3f-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/07e1cd7dca89a1678042477183b7ac3f-Abstract.html,
A Passive Shared Element Analog Electrical Cochlea,"David Feld, Joe Eisenberg, Edwin Lewis",1988,"We present a  simplified model  of the  micromechanics of the human  cochlea,  realized  with  electrical  elements.  Simulation  of the  model  shows that it retains four signal processing features whose importance  we argue on the basis of engineering logic and evolutionary evidence.  Furthermore, just as  the cochlea does,  the  model  achieves  massively  parallel signal processing in a structurally economic way, by means of  shared elements.  By extracting what we believe are the five essential  features of the cochlea, we hope to design a useful  front-end  filter to  process  acoustic  images and to  obtain  a  better understanding  of the  auditory system.",https://papers.nips.cc/paper_files/paper/1988/file/0a09c8844ba8f0936c20bd791130d6b6-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/0a09c8844ba8f0936c20bd791130d6b6-Abstract.html,
Speech Production Using A Neural Network with a Cooperative Learning Mechanism,"Mitsuo Komura, Akio Tanaka",1988,"We  propose  a  new  neural  network  model  and  its  learning  algorithm. The proposed neural network consists of four layers  - input, hidden, output and final output layers. The hidden and  output layers are multiple.  Using the proposed  SICL(Spread  Pattern Information and Cooperative  Learning)  algorithm,  it  is  possible  to  learn  analog  data  accurately  and  to  obtain  smooth outputs. Using this neural network, we have developed  a  speech production system consisting of a  phonemic  symbol  production  subsystem  and  a  speech  parameter  production  subsystem.  We  have  succeeded  in  producing  natural  speech  waves with high accuracy.",https://papers.nips.cc/paper_files/paper/1988/file/0f28b5d49b3020afeecd95b4009adf4c-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/0f28b5d49b3020afeecd95b4009adf4c-Abstract.html,
Associative Learning via Inhibitory Search,David Ackley,1988,"ALVIS is  a  reinforcement-based  connectionist  architecture  that  learns  associative  maps  in  continuous  multidimensional  environ(cid:173) ments.  The  discovered  locations  of  positive  and  negative  rein(cid:173) forcements  are  recorded  in  ""do be""  and  ""don't  be""  subnetworks,  respectively.  The outputs of the subnetworks relevant  to the cur(cid:173) rent goal are combined and compared with the current location to  produce  an  error  vector.  This  vector  is  backpropagated  through  a  motor-perceptual  mapping  network.  to  produce  an  action  vec(cid:173) tor that leads the system towards do-be locations  and  away from  don 't-be locations.  AL VIS is  demonstrated with a simulated robot  posed a  target-seeking task.",https://papers.nips.cc/paper_files/paper/1988/file/1385974ed5904a438616ff7bdb3f7439-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/1385974ed5904a438616ff7bdb3f7439-Abstract.html,
Performance of a Stochastic Learning Microchip,"Joshua Alspector, Bhusan Gupta, Robert Allen",1988,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1988/file/140f6969d5213fd0ece03148e62e461e-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/140f6969d5213fd0ece03148e62e461e-Abstract.html,
Song Learning in Birds,M. Konishi,1988,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1988/file/149e9677a5989fd342ae44213df68868-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/149e9677a5989fd342ae44213df68868-Abstract.html,
Modeling Small Oscillating Biological Networks in Analog VLSI,"Sylvie Ryckebusch, James Bower, Carver Mead",1988,"We  have used analog VLSI technology to model a class of small os(cid:173) cillating  biological neural circuits  known  as  central pattern  gener(cid:173) ators  (CPG). These circuits generate rhythmic patterns of activity  which drive locomotor behaviour in the animal.  We  have designed,  fabricated,  and tested a model neuron circuit which relies on many  of the  same  mechanisms  as  a  biological  central pattern  generator  neuron,  such  as  delays  and  internal feedback.  We  show  that  this  neuron can be used  to build several small circuits based on known  biological CPG circuits, and that these circuits produce patterns of  output which  are very similar to the observed biological patterns.  To  date,  researchers  in  applied  neural  networks  have  tended  to  focus  on  mam(cid:173) malian systems  as  the  primary source  of  potentially  useful  biological  information.  However,  invertebrate systems may represent  a source  of ideas  in many ways  more  appropriate, given current levels of engineering sophistication in building neural-like  systems, and given the state of biological understanding of mammalian circuits.  In(cid:173) vertebrate  systems  are  based  on  orders  of magnitude  smaller  numbers  of neurons  than  are  mammalian  systems.  The  networks  we  will  consider  here,  for  example,  are  composed  of  about  a  dozen  neurons,  which  is  well  within  the  demonstrated  capabilities  of current  hardware  fabrication  techniques.  Furthermore,  since  much  more detailed structural information is  available about these systems than for  most  systems in  higher animals, insights can be guided by real information rather than by  guesswork.  Finally, even though they are constructed of small numbers of neurons,  these networks have  numerous interesting and  potentially even useful properties.  CENTRAL PATTERN  GENERATORS  Of  all  the  invertebrate  neural  networks  currently  being  investigated  by  neurobi(cid:173) ologists,  the  class  of  networks  known  as  central  pattern  generators  (CPGs)  may  be  especially  worthy  of attention.  A  CPG is  responsible  for  generating  oscillatory  neural  activity  that  governs  specific  patterns  of  motor  output,  and  can  generate  its  pattern  of activity  when  isolated  from  its  normal neuronal  inputs.  This  prop- Modeling Small Oscillating Biological Networks  385  erty, which greatly facilitates experiments, has enabled biologists to describe several  CPGs in  detail at  the cellular and synaptic level.  These networks have  been found  in all animals,  but have been extensively studied in invertebrates [Selverston,  1985].  We  chose to model several small CPG networks using analog VLSI technology.  Our  model differs from  most computer simulation models of biological networks [Wilson  and Bower, in press] in that we did not attempt to model the details of the individual  ionic currents,  nor did we  attempt to model each known connection in the networks.  Rather, our aim  was  to determine the basic  functionality  of a  set of CPG networks  by modeling them as  the minimum set of connections required to reproduce output  qualitatively similar to that produced by the real network under certain conditions.  MODELING  CPG NEURONS  The  basic  building  block  for  our  model  is  a  general  purpose  CPG  neuron  circuit.  This circuit, shown  in  Figure  1,  is  our model  for  a  typical neuron  found  in central  pattern  generators,  and  contains  some  of  the  essential  elements  of real  biological  neurons.  Like real neurons, this model integrates current and uses positive feedback  to  output  a  train  of pulses,  or  action  potentials,  whose  frequency  depends  on  the  magnitude of the current input.  The part of the circuit which generates these pulses  is  shown  in  Figure 2a [Mead,  19891.  The second element in  the CPG neuron circuit is the synapse.  In Figure 1,  each pair  of transistors functions as a synapse.  The p-well transistors are. excitatory synapses,  whereas the n-well transistors are inhibitory synapses.  One of the transistors in the  pair sets the strength of the synapse,  while  the other transistor is  the  input of the  synapse.  Each  CPG neuron  has four  different synapses.  The  third element of our model  CPG neuron  involves  temporal delays.  Delays  are  an essential element in the function of CPGs, and biology has evolved many different  mechanisms  to  introduce delays  into neural networks.  The membrane capacitance  of the  cell  body,  different  rates of chemical reactions,  and  axonal transmission  are  just  a  few  of the  mechanisms which  have  time constants  associated with  them.  In  our  model we  have  included  synaptic  delay  as  the  principle source of delay  in  the  network.  This  is  modeled  as  an  RC  delay,  implemented  by  the follower-integrator  circuit shown in Figure 2b [Mead,  19891.  The time constant of the delay is a function  of the  conductance  of  the  amplifier,  set  by  the  bias  G.  A  multiple  time  constant  delay line is  formed  by cascading several of these elements.  Our neuron circuit uses  a  delay  line  with  three  time  constants.  The  synapses  which  are  before  the  delay  element  are  slow synapses, whereas the  undelayed synapses  are  fa.st  synapses.  We fabricated the circuit shown in Figure 1 using CMOS, VLSI technology.  Several  of these  circuits  were  put  on  each  chip,  with  all  of  the  inputs  and  controls  going  out  to pads, so  that these  cells  could  be externally connected  to form  the  network  of interest.  386  Ryckebusch, Bower, and Mead",https://papers.nips.cc/paper_files/paper/1988/file/1afa34a7f984eeabdbb0a7d494132ee5-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/1afa34a7f984eeabdbb0a7d494132ee5-Abstract.html,
Comparing Biases for Minimal Network Construction with Back-Propagation,"Stephen Hanson, Lorien Pratt",1988,"learning  representations during  Rumelhart (1987). has proposed a method for choosing minimal or  ""simple""  in Back-propagation  networks. This approach can be used to (a) dynamically select the  number of hidden units. (b) construct a representation that is  appropriate for the problem and (c) thus improve the generalization  ability of Back-propagation networks. The method Rumelhart suggests  involves adding penalty terms to the usual error function. In this paper  we introduce Rumelhart·s minimal networks idea and compare two  possible biases on the weight search space. These biases are compared  in both simple counting problems and a speech recognition problem.  In general. the constrained search does seem to minimize the number of  hidden units required with an expected increase in local minima.",https://papers.nips.cc/paper_files/paper/1988/file/1c9ac0159c94d8d0cbedc973445af2da-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/1c9ac0159c94d8d0cbedc973445af2da-Abstract.html,
What Size Net Gives Valid Generalization?,"Eric Baum, David Haussler",1988,"We  address  the  question  of when  a  network  can  be  expected  to  generalize from m  random training examples chosen from some ar(cid:173) bitrary probability distribution, assuming that future test examples  are drawn from  the same  distribution.  Among  our  results are  the  following  bounds on appropriate sample vs.  network size.  Assume  o <  £  $  1/8.  We  show  that  if m  >  O( ~log~) random  exam(cid:173) ples  can  be  loaded  on  a  feedforward  network  of linear  threshold  functions  with N  nodes and W  weights,  so that at least a  fraction  1 - t of the examples  are  correctly  classified,  then one  has confi(cid:173) dence approaching certainty that the network will correctly classify  a  fraction  1 - £  of future  test  examples drawn from  the same  dis(cid:173) tribution.  Conversely,  for  fully-connected  feedforward  nets  with  one  hidden  layer,  any learning  algorithm  using  fewer  than  O( '!')  random training examples  will,  for  some distributions of examples  consistent  with  an  appropriate  weight  choice,  fail  at  least  some  fixed fraction of the time to find  a  weight choice that will correctly  classify more  than a 1 - £  fraction of the future  test examples.",https://papers.nips.cc/paper_files/paper/1988/file/1d7f7abc18fcb43975065399b0d1e48e-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/1d7f7abc18fcb43975065399b0d1e48e-Abstract.html,
A Low-Power CMOS Circuit Which Emulates Temporal Electrical Properties of Neurons,"Jack Meador, Clint Cole",1988,"This  paper  describes  a  CMOS  artificial  neuron.  The  circuit  is 
directly  derived  from  the  voltage-gated  channel  model  of  neural 
membrane,  has  low  power  dissipation,  and  small  layout  geometry. 
The principal motivations behind this work include a desire for high 
performance,  more  accurate  neuron  emulation,  and  the  need  for 
higher density in practical neural network implementations.",https://papers.nips.cc/paper_files/paper/1988/file/1ff8a7b5dc7a7d1f0ed65aaa29c04b1e-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/1ff8a7b5dc7a7d1f0ed65aaa29c04b1e-Abstract.html,
Linear Learning: Landscapes and Algorithms,Pierre Baldi,1988,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1988/file/202cb962ac59075b964b07152d234b70-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/202cb962ac59075b964b07152d234b70-Abstract.html,
Applications of Error Back-Propagation to Phonetic Classification,"Hong Leung, Victor W. Zue",1988,"This paper is concerced with the use of error back-propagation  in phonetic classification. Our objective is to investigate the ba(cid:173) sic characteristics of back-propagation, and study how the frame(cid:173) work of multi-layer perceptrons can be exploited in phonetic recog(cid:173) nition. We explore issues such as integration of heterogeneous  sources of information, conditioll~ that can affect performance of  phonetic classification, internal representations, comparisons with  traditional pattern classification techniques, comparisons of differ(cid:173) ent error metrics, and initialization of the network. Our investiga(cid:173) tion is performed within a set of experiments that attempts to rec(cid:173) ognize the 16 vowels in American English independent of speaker.  Our results are comparable to human performance.  Early approaches in phonetic recognition fall into two major extremes: heuristic  and algorithmic. Both approaches have their own merits and shortcomings. The  heuristic approach has the intuitive appeal that it focuses on the linguistic informa(cid:173) tion in the speech signal and exploits acoustic-phonetic knowledge. HO'fever, the  weak control strategy used for utilizing our knowledge has been grossly inadequate.  At the other extreme, the algorithmic approach relies primarily on the powerful con(cid:173) trol strategy offered by well-formulated pattern recognition techniques. However,  relatively little is known about how our speech knowledge accumulated over the  past few decades can be incorporated into the well-formulated algorithms. We feel  that artificial neural networks (ANN) have some characteristics that can potentially  enable them to bridge the gap between these two extremes. On the one hand, our  speech knowledge can provide guidance to the structure and design of the network.  On the other hand, the self-organizing mechanism of ANN can provide a control  strategy for utilizing our knowledge.  In this paper, we extend our earlier work on the use of artificial neural networks  for phonetic recognition [2]. Specifically, we focus our investigation on the following  sets of issues. First, we describe the use of the network to integrate heterogeneous  sources of information. We will see how classification performance improves as more  Error Back-Propagation to Phonetic Classification  207  information is available. Second, we discuss several important factors that can sub(cid:173) stantially affect the performance of phonetic classification. Third, we examine the  internal representation of the network. Fourth, we compare the network with two  traditional classification techniques: K-nearest neighbor and Gaussian classifica(cid:173) tion. Finally, we discuss our specific implementations of back-propagation that  yield improved performance and more efficient learning time.",https://papers.nips.cc/paper_files/paper/1988/file/2723d092b63885e0d7c260cc007e8b9d-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/2723d092b63885e0d7c260cc007e8b9d-Abstract.html,
An Analog Self-Organizing Neural Network Chip,"James Mann, Sheldon Gilbert",1988,"A design for a fully analog version of a self-organizing feature map neural  network has been completed. Several parts of this design are in fabrication.  The feature map algorithm was modified to accommodate circuit solutions  to the various computations required. Performance effects were measured  by simulating the design as part of a frontend for a speech recognition  system. Circuits are included to implement both activation computations and  weight adaption 'or learning. External access to the analog weight values is  provided to facilitate weight initialization, testing and static storage. This  fully analog implementation requires an order of magnitude less area than  a comparable digital/analog hybrid version developed earlier.",https://papers.nips.cc/paper_files/paper/1988/file/2a79ea27c279e471f4d180b08d62b00a-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/2a79ea27c279e471f4d180b08d62b00a-Abstract.html,
A Bifurcation Theory Approach to the Programming of Periodic Attractors in Network Models of Olfactory Cortex,Bill Baird,1988,"A  new  learning  algorithm  for  the  storage  of  static  and  periodic  attractors  in  biologically  inspired  recurrent  analog  neural  networks  is  introduced.  For  a  network  of  n  nodes,  n  static  or  n/2  periodic  attractors  may  be  stored.  The  algorithm  allows  programming  of  the  network  vector  field  indepen(cid:173) dent  of  the  patterns  to  be  stored.  Stability  of  patterns,  basin  geometry,  and  rates  of  convergence  may  be  controlled.  For  orthonormal  patterns,  the  l~grning operation  reduces  to  a  kind  of  periodic  outer  product  rule  that  allows  local,  additive,  commutative,  incremental  learning.  Standing  or  traveling  wave  cycles  may  be  stored  to  mimic  the  kind  of  oscillating  spatial  patterns  that  appear  in  the  neural  activity  of  the  olfactory  bulb  and  prepyriform  cortex  during  inspiration  and  suffice,  in  the  bulb,  to  predict  the  pattern  recognition  behavior  of  rabbits  in  classical  conditioning  ex(cid:173) periments.  These  attractors  arise,  during  simulat(cid:173) ed  inspiration,  through  a  multiple  Hopf  bifurca(cid:173) tion,  which  can  act  as  a  critical  ""decision  pOint""  for  their  selection  by  a  very  small  input  pattern.",https://papers.nips.cc/paper_files/paper/1988/file/2b24d495052a8ce66358eb576b8912c8-Paper.pdf,https://papers.nips.cc/paper_files/paper/1988/hash/2b24d495052a8ce66358eb576b8912c8-Abstract.html,
